signature_hash,block_time_utc,r_component_hex
65bt65FWyCPnk2u5QdyEZnj7eDAz86Fkz7xm1YEbvnrzRYfKEdwUkY2Ai8ooTLXgfnAr2gK61VkYh493UTJsEdvg,1970-01-01 07:00:00,fe0d9545522e68ddad5c9da61f1cc8a8187f92955677d0473fa872c0a7073b39
5vyQkTjxJKRM69bY2n98JcShyZW9NVBR6emuJPEUjL4f2vDhmA47VymaJ4oEpTEvSmwhcK8mZZvEoGkUTcgHs3ba,1970-01-01 07:00:00,f69ca52b3a72e5523751ed44130a8d521546cd8e3cfd5b46d48a37c3a4755a76
2kiTR22eo81YUSuGWUUY1RsUvNvKHEJs2f7HFHvZv2SENJqg4JeseftCvfCu1AAg3F6xkhXnaNah4DbRya1dycg6,1970-01-01 07:00:00,57b7062ffe55e275425119eb4fa534b2889cc271a459b565b8d2870824960dbb
2HXdMerDNhiVXxYN5vq4wt8eQCHmjmNzLEuPimQod6PjfERWiVh4TXxNF2bYGNz5yNeeKXjfRHQehtQhcrXqu4gg,1970-01-01 07:00:00,404529390bbba7adc6f2ee2c972cfaad552a31b76573e4181d6752321fe14604
5EgrYuMYk5R4a4AaWw6QYGEjoFqp5xvF2hSyUUUUHZunQtq6gk52VFH9NPEkxbtj6uCpGBxVd2GY4eofEotcATDs,1970-01-01 07:00:00,d3df0b4ffab6a83c0c5e86cfbbb4275f4819a2bffc13c9dba8c9fcade0468df1
ctXV4SUmHDK9HWMYoXpBccuWnrbTasZaRecVRPZ9rLqB3SWM7jJn4KEzWBpuBdG46PrrQXNntQFZXYzRFNpAHbc,1970-01-01 07:00:00,1ef2e2944ac88883695762ba8ff94ce50f9e4399fa01ccb41426c4012a969b85
5mJo9uXuK3RFBzNvSWrTYgdvaZ7ap4zxssAksPHrVLtuaUSDE9Mi61QkWahKtw923X3h9FD6H9ysGGEopKuBQEGV,1970-01-01 07:00:00,ee46c9c25d3b1a47d71219c2a7b638ed990532c9d742de8e12e0c9a2d39391dd
56m4X742H4HqnhD8S4dnq83ujSEFNbKUZjPfA3LP7bXR8RtqM8Y6y88ixR2s9ZneMNCkPpnFMeMnARA2AkyVcqX7,1970-01-01 07:00:00,cd08eff655c2c25ce81dd322ea400aa63b6c6674500e71ff56176200963f8c81
2dhXQ82nXEvFzuLuQ8gMnhAWahmNUFNXG4MbTmc48DYFo4aVifHr3gR6DeNH1EHxMgvn7EKwTYUyQgimAAsfW4b2,1970-01-01 07:00:00,51aa2068620a5a65ca4cc3c54c8a5b840582e5f97b381e81a4f31f33874be3bf
5nPXcRNxjSHkH6j2z3AP8Zzy4rewxYNqgmbWAmS62t9pzSQsQ4a7a5mu8PrnuVbJpWTyb4hbZcim3dXJ8DnPWDXA,1970-01-01 07:00:00,ef35907191d11163583218053ad04f12da40f05b1c7a2e1d26f31b567f658ec3
2Mu5ZvR8TXe452KMWzRDqQV9v1zfsRPgpiUu68JWy8SyVAnCCCw1Ty9t6QNeFqgR5NECL74Gay2Ux5g7Qpw9BgVc,1970-01-01 07:00:00,4409df37ce7d5dc8e1d952e87c1cc38fc62a5636855c9b778fe0f472025ddab8
4Tk1unSZ66wcpP23kDktecYyoy1UkZfuPHra8WMfXrS7zB6KAKBzACjFynDCzLc4bKNnUMHdtrEo4GFuCYMjcNw7,1970-01-01 07:00:00,ad1caaa60192f95fc2c821da3f05dde99c75b8d7868c0fd10e1ff2a02b85ec64
33aBThGjy4ybBGfzv2qPgT52Hh2JZffBy3vodXF1qvpqXUrx1xgv6YggAGHNTKX4q9eLKxM9amQ28pFW37kdmmnd,1970-01-01 07:00:00,664086c808b3b4af2edd6d62e93a25255e8c5db862b936f95c5a3f84df9ed914
2zTFthLrHmomLfto4V6iEsKXXa8zYT99jT94zEaujjAYqnsz7cQhMtNAowvzMtdFxsDZQyimfMkeYtM9DwW5bkbX,1970-01-01 07:00:00,638fe1148ad261ed41c2d259b83b6e7de1fb450027bd1b830f881e4ebaaabe16
3Yw7NKjuP6d2dyDC7qEa5hMS5gBjcP7kzGM73tT2P7HwURyUuj1XrAD5MfLeQvgd6tAqkChSfsgfXYsqsmCAKWHL,1970-01-01 07:00:00,7f925da156cc426b6fc871ed1d7cd17346109d40b00c17e0ad1893867d1c6c42
3TNsfpSBRQsrhxN5NcBAREctspsq54CebC9J5PcmJreKQabEzpoyTvfcSmbsk2vmCSEhKspxtUWjiYanf7C4PxFZ,1970-01-01 07:00:00,7ac7d797effc803b9a3cc3f5fe60a9bdbb62a6962b7539a2ba8c757573622d29
4evXSyw46gdgTHpNEfqWpF5BexeNNy4BJ8NWMidpkLgBjve4BdSFKz5VXNJeVSWETk6pgi9CVUiNnQSqEoYKYpqy,1970-01-01 07:00:00,b6c1145516b69d5f985a7003b5d2f1ee6ce313ae9eca6ef5db957f9a568bbb6f
